Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,Preferred Course,Preferred Country,University Name
1,337,118,4,4.5,4.5,9.65,1,0.92,Data Science,Australia,University 26
2,324,107,4,4.0,4.5,8.87,1,0.76,Computer Science,Australia,University 47
3,316,104,3,3.0,3.5,8.0,1,0.72,Mechanical,Canada,University 44
4,322,110,3,3.5,2.5,8.67,1,0.8,Mechanical,Australia,University 18
5,314,103,2,2.0,3.0,8.21,0,0.65,Data Science,USA,University 34
6,330,115,5,4.5,3.0,9.34,1,0.9,Electrical Engineering,Germany,University 5
7,321,109,3,3.0,4.0,8.2,1,0.75,Mechanical,USA,University 28
8,308,101,2,3.0,4.0,7.9,0,0.68,Electrical Engineering,UK,University 7
9,302,102,1,2.0,1.5,8.0,0,0.5,Data Science,Germany,University 1
10,323,108,3,3.5,3.0,8.6,0,0.45,Computer Science,Canada,University 15
11,325,106,3,3.5,4.0,8.4,1,0.52,Data Science,Australia,University 17
12,327,111,4,4.0,4.5,9.0,1,0.84,Electrical Engineering,Germany,University 37
13,328,112,4,4.0,4.5,9.1,1,0.78,Data Science,Germany,University 49
14,307,109,3,4.0,3.0,8.0,1,0.62,Computer Science,USA,University 14
15,311,104,3,3.5,2.0,8.2,1,0.61,Computer Science,Germany,University 12
16,314,105,3,3.5,2.5,8.3,0,0.54,Electrical Engineering,Germany,University 49
17,317,107,3,4.0,3.0,8.7,0,0.66,Mechanical,UK,University 46
18,319,106,3,4.0,3.0,8.0,1,0.65,Data Science,Australia,University 33
19,318,110,3,4.0,3.0,8.8,0,0.63,Data Science,USA,University 38
20,303,102,3,3.5,3.0,8.5,0,0.62,Mechanical,Canada,University 50
21,312,107,3,3.0,2.0,7.9,1,0.64,Data Science,Australia,University 30
22,325,114,4,3.0,2.0,8.4,0,0.7,Mechanical,UK,University 34
23,328,116,5,5.0,5.0,9.5,1,0.94,Computer Science,UK,University 18
24,334,119,5,5.0,4.5,9.7,1,0.95,Computer Science,Australia,University 34
25,336,119,5,4.0,3.5,9.8,1,0.97,Computer Science,Germany,University 11
26,340,120,5,4.5,4.5,9.6,1,0.94,Computer Science,Australia,University 31
27,322,109,5,4.5,3.5,8.8,0,0.76,Mechanical,USA,University 36
28,298,98,2,1.5,2.5,7.5,1,0.44,Data Science,Canada,University 41
29,295,93,1,2.0,2.0,7.2,0,0.46,Electrical Engineering,Germany,University 16
30,310,99,2,1.5,2.0,7.3,0,0.54,Electrical Engineering,UK,University 39
31,300,97,2,3.0,3.0,8.1,1,0.65,Electrical Engineering,UK,University 18
32,327,103,3,4.0,4.0,8.3,1,0.74,Data Science,Canada,University 32
33,338,118,4,3.0,4.5,9.4,1,0.91,Data Science,Germany,University 4
34,340,114,5,4.0,4.0,9.6,1,0.9,Computer Science,Canada,University 25
35,331,112,5,4.0,5.0,9.8,1,0.94,Mechanical,Germany,University 26
36,320,110,5,5.0,5.0,9.2,1,0.88,Mechanical,Canada,University 5
37,299,106,2,4.0,4.0,8.4,0,0.64,Mechanical,Germany,University 46
38,300,105,1,1.0,2.0,7.8,0,0.58,Computer Science,Germany,University 40
39,304,105,1,3.0,1.5,7.5,0,0.52,Electrical Engineering,Canada,University 24
40,307,108,2,4.0,3.5,7.7,0,0.48,Computer Science,USA,University 11
41,308,110,3,3.5,3.0,8.0,1,0.46,Mechanical,Germany,University 38
42,316,105,2,2.5,2.5,8.2,1,0.49,Mechanical,UK,University 21
43,313,107,2,2.5,2.0,8.5,1,0.53,Data Science,USA,University 5
44,332,117,4,4.5,4.0,9.1,0,0.87,Electrical Engineering,UK,University 32
45,326,113,5,4.5,4.0,9.4,1,0.91,Mechanical,UK,University 20
46,322,110,5,5.0,4.0,9.1,1,0.88,Electrical Engineering,Germany,University 46
47,329,114,5,4.0,5.0,9.3,1,0.86,Mechanical,UK,University 39
48,339,119,5,4.5,4.0,9.7,0,0.89,Computer Science,Germany,University 3
49,321,110,3,3.5,5.0,8.85,1,0.82,Electrical Engineering,Germany,University 34
50,327,111,4,3.0,4.0,8.4,1,0.78,Mechanical,Canada,University 24
51,313,98,3,2.5,4.5,8.3,1,0.76,Electrical Engineering,Australia,University 9
52,312,100,2,1.5,3.5,7.9,1,0.56,Computer Science,Canada,University 17
53,334,116,4,4.0,3.0,8.0,1,0.78,Electrical Engineering,UK,University 6
54,324,112,4,4.0,2.5,8.1,1,0.72,Computer Science,Canada,University 44
55,322,110,3,3.0,3.5,8.0,0,0.7,Mechanical,Germany,University 8
56,320,103,3,3.0,3.0,7.7,0,0.64,Electrical Engineering,Canada,University 2
57,316,102,3,2.0,3.0,7.4,0,0.64,Mechanical,Canada,University 6
58,298,99,2,4.0,2.0,7.6,0,0.46,Data Science,UK,University 29
59,300,99,1,3.0,2.0,6.8,1,0.36,Electrical Engineering,Germany,University 39
60,311,104,2,2.0,2.0,8.3,0,0.42,Mechanical,UK,University 45
61,309,100,2,3.0,3.0,8.1,0,0.48,Mechanical,USA,University 40
62,307,101,3,4.0,3.0,8.2,0,0.47,Data Science,Australia,University 46
63,304,105,2,3.0,3.0,8.2,1,0.54,Computer Science,UK,University 45
64,315,107,2,4.0,3.0,8.5,1,0.56,Mechanical,UK,University 18
65,325,111,3,3.0,3.5,8.7,0,0.52,Computer Science,USA,University 31
66,325,112,4,3.5,3.5,8.92,0,0.55,Computer Science,USA,University 8
67,327,114,3,3.0,3.0,9.02,0,0.61,Electrical Engineering,USA,University 45
68,316,107,2,3.5,3.5,8.64,1,0.57,Data Science,Canada,University 23
69,318,109,3,3.5,4.0,9.22,1,0.68,Mechanical,USA,University 41
70,328,115,4,4.5,4.0,9.16,1,0.78,Mechanical,Australia,University 15
71,332,118,5,5.0,5.0,9.64,1,0.94,Electrical Engineering,USA,University 30
72,336,112,5,5.0,5.0,9.76,1,0.96,Data Science,UK,University 37
73,321,111,5,5.0,5.0,9.45,1,0.93,Data Science,USA,University 6
74,314,108,4,4.5,4.0,9.04,1,0.84,Electrical Engineering,Canada,University 19
75,314,106,3,3.0,5.0,8.9,0,0.74,Mechanical,Australia,University 40
76,329,114,2,2.0,4.0,8.56,1,0.72,Electrical Engineering,Canada,University 40
77,327,112,3,3.0,3.0,8.72,1,0.74,Electrical Engineering,Australia,University 19
78,301,99,2,3.0,2.0,8.22,0,0.64,Computer Science,UK,University 40
79,296,95,2,3.0,2.0,7.54,1,0.44,Data Science,Australia,University 45
80,294,93,1,1.5,2.0,7.36,0,0.46,Electrical Engineering,UK,University 31
81,312,105,3,2.0,3.0,8.02,1,0.5,Mechanical,UK,University 32
